Loan ID,Branch,Region,Postal Code,Industry,Disbursement Date,Principal Amount ,Loan Status,Days Overdue,Risk Rating,Interest Income,Client Name,Bank
1046615008,CHICAGO,Midwest,60614,Food & Beverage Production,8/23/2014,10000,Active,0,Standard,1200,"Java Enterprises, Inc dba Amer",BANK OF AMERICA NATL ASSOC
1048786002,BOSTON,Northeast,1253,Construction,2/15/2016,79000,Active,0,Standard,9480,Todd Key & Alan Smiley,CDC SMALL BUS. FINAN CORP
1048826001,PHOENIX,West,85503,Construction,2/15/2016,249000,Active,0,Standard,29880,Todd Key & Alan Smiley,CDC SMALL BUS. FINAN CORP
1054835004,ATLANTA,South,39277,Food & Beverage Production,9/6/2014,4999,Default,52,Watchlist,599.88,Carmen Hernandez and Pedro Her,BANK OF AMERICA NATL ASSOC
1056816009,DENVER,West,81049,Construction,2/16/2016,59450,Active,0,Standard,7134,RENAISSANCE,JPMORGAN CHASE BANK NATL ASSOC
1063815000,PHOENIX,West,85477,Food & Beverage Production,9/19/2014,25530,Active,0,Standard,3063.6,California Percussion LLC,BANK OF AMERICA NATL ASSOC
1077145001,MIAMI,South,33916,Construction,10/5/2014,50000,Default,89,Watchlist,6000,DESERT REALTY & DEVELOPMENT CO,BANK OF AMERICA NATL ASSOC
1086365010,PHOENIX,West,85752,Construction,10/19/2014,64000,Active,0,Standard,7680,Winokur & Gage Inc.,BANK OF AMERICA NATL ASSOC
1088625009,DALLAS,South,78732,Construction,10/24/2014,39000,Active,0,Standard,4680,Michael L. Judson dba Linex Co,BANK OF AMERICA NATL ASSOC
1091405003,SEATTLE,West,98938,Food & Beverage Production,10/26/2014,25000,Active,0,Standard,3000,THE FRANK TEHAN CORPORATION,CAPITAL ONE NATL ASSOC
1092745002,ATLANTA,South,35372,Pharmaceuticals,10/27/2014,32697,Active,0,Standard,3923.64,Imagine Designs Inc.,BANK OF AMERICA NATL ASSOC
1097055006,DENVER,West,80414,Construction,11/2/2014,25000,Active,0,Standard,3000,Artur Ambarachyan dba Millenni,BANK OF AMERICA NATL ASSOC
1097615008,DENVER,West,80395,Construction,11/3/2014,10000,Active,0,Standard,1200,Eight Eight 88 Corp.,BANK OF AMERICA NATL ASSOC
1100695001,PHOENIX,West,85425,Education & Training Institutions,11/8/2014,10000,Active,0,Standard,1200,VIDEO PALACE,CAPITAL ONE NATL ASSOC
1101815002,DENVER,West,80833,Construction,11/9/2014,12750,Default,165,Critical,1530,"Shaky, Inc.",BANK OF AMERICA NATL ASSOC
1105055007,BOSTON,Northeast,2520,Agriculture & Farming,11/15/2014,35000,Active,0,Standard,4200,"PORTFOLIO SERVICES GROUP, INC.",CAPITAL ONE NATL ASSOC
1106844003,HOUSTON,South,79918,Healthcare Services,4/7/2007,150500,Active,0,Standard,18060,XPRESS RENT-A-CAR OF HEMET,U.S. BANK NATIONAL ASSOCIATION
1113545001,SEATTLE,West,99215,Information Technology Services,11/25/2014,100000,Active,0,Standard,12000,"Boels, Inc. dba Automated Regi",CAPITAL ONE NATL ASSOC
1115215000,DALLAS,South,79702,Construction,11/29/2014,50000,Default,162,Critical,6000,"First Step Funding, Inc. dba F",CAPITAL ONE NATL ASSOC
1118365005,PHOENIX,West,86160,Hospitality & Tourism,12/2/2014,50000,Active,0,Standard,6000,Premnarayan R. Soni dba Ba Ba,BANK OF AMERICA NATL ASSOC
1122665004,SEATTLE,West,98537,Food & Beverage Production,12/7/2014,12000,Default,90,Watchlist,1440,Richard Aguilar dba Big Bounce,BANK OF AMERICA NATL ASSOC
1122875008,MIAMI,South,34990,Construction,12/7/2014,11000,Active,0,Standard,1320,Patty Schwartzkopf Properties,BANK OF AMERICA NATL ASSOC
1123945007,SEATTLE,West,98456,Agriculture & Farming,12/8/2014,50000,Active,0,Standard,6000,ROBERT S PERDUE DBA ROBERT SHE,CAPITAL ONE NATL ASSOC
1127975002,DENVER,West,80020,Retail & Wholesale Trade,12/12/2014,25009,Default,120,Critical,3001.08,ABC Enterprises of Southern Ca,BANK OF AMERICA NATL ASSOC
1130575001,MIAMI,South,32503,Retail & Wholesale Trade,12/14/2014,50591,Default,83,Watchlist,6070.92,Go On Enterprises Inc,BANK OF AMERICA NATL ASSOC
1136545004,BOSTON,Northeast,1663,Construction,12/20/2014,229540,Active,0,Standard,27544.8,"Villarino Financial, Inc. dba",CALIFORNIA BANK & TRUST
1137015000,PHOENIX,West,85378,Retail & Wholesale Trade,12/20/2014,10000,Default,114,Critical,1200,Salay Bangura dba Lungi Enterp,BANK OF AMERICA NATL ASSOC
1137605000,MIAMI,South,32483,Telecommunications,12/21/2014,100000,Default,122,Critical,12000,"Rent 4 Less, Inc.",CALIFORNIA BANK & TRUST
1138035008,SEATTLE,West,98331,Energy & Utilities,12/21/2014,100000,Default,141,Critical,12000,"Priceless Cars & Trucks Ent.,",CALIFORNIA BANK & TRUST
1153685002,PHOENIX,West,85116,Agriculture & Farming,1/9/2015,113000,Active,0,Standard,13560,"The Sonne Group Inc., dba Self",BANK OF AMERICA NATL ASSOC
1156185000,ATLANTA,South,37631,Food & Beverage Production,1/11/2015,50000,Active,0,Standard,6000,"MTS UNLIMITED, INC.",CAPITAL ONE NATL ASSOC
1159915000,HOUSTON,South,78792,Retail & Wholesale Trade,1/13/2015,69500,Default,111,Critical,8340,Westec Mortgage Inc.,BANK OF AMERICA NATL ASSOC
1161485001,DENVER,West,81642,Construction,1/17/2015,50000,Default,80,Watchlist,6000,CHENG & ASSOCIATES LLC,CAPITAL ONE NATL ASSOC
1162204004,MIAMI,South,34417,Education & Training Institutions,4/22/2007,90000,Default,134,Critical,10800,FOX'S VIDEO,CALIFORNIA BANK & TRUST
1162775007,NEW YORK,Northeast,13399,Construction,1/20/2015,10000,Active,0,Standard,1200,Technogeeks LLC,BANK OF AMERICA NATL ASSOC
1168925005,CHICAGO,Midwest,60365,Retail & Wholesale Trade,1/24/2015,100000,Active,0,Standard,12000,"Desert Resort Management, Inc.",CAPITAL ONE NATL ASSOC
1168985001,HOUSTON,South,79409,Hospitality & Tourism,1/24/2015,25000,Default,164,Critical,3000,Claudio Gonzalez dba A & A Pro,BANK OF AMERICA NATL ASSOC
1169845007,DENVER,West,81308,Construction,1/24/2015,23282,Default,84,Watchlist,2793.84,Luna Terra LLC,BANK OF AMERICA NATL ASSOC
1173345002,HOUSTON,South,79235,Construction,1/26/2015,20000,Default,136,Critical,2400,Casa Grande Real Estate,BANK OF AMERICA NATL ASSOC
1176946007,PHOENIX,West,85959,Construction,2/26/2016,229000,Active,0,Standard,27480,CENTURY 21 GOLD DUST REALTY,GREATER SACRAMENTO CERT. DEVEL
1177395003,DENVER,West,81376,Construction,2/1/2015,83500,Default,84,Watchlist,10020,"Anderson Jackson Group, Inc.",BANK OF AMERICA NATL ASSOC
1177475003,SEATTLE,West,99342,Information Technology Services,2/1/2015,50000,Active,0,Standard,6000,"Vu-Color, Inc.",BANK OF AMERICA NATL ASSOC
1182995000,HOUSTON,South,77731,Construction,2/3/2015,50000,Active,0,Standard,6000,"BRAD T. EVANS HOLDINGS, INC.",CAPITAL ONE NATL ASSOC
1183175003,NEW YORK,Northeast,10196,Energy & Utilities,2/3/2015,58945,Default,44,Watchlist,7073.4,WILLIAM B BARILLARO DBA COACH,CAPITAL ONE NATL ASSOC
1187995010,ATLANTA,South,32966,Oil & Gas,2/8/2015,50000,Active,0,Standard,6000,YOSEMITE / BASS LAKE ACTIVITIE,CAPITAL ONE NATL ASSOC
1188446007,HOUSTON,South,79040,Energy & Utilities,2/27/2016,116007,Default,78,Watchlist,13920.84,FINE FOOD CORP,WELLS FARGO BANK NATL ASSOC
1188815004,ATLANTA,South,37117,Renewable Energy,2/8/2015,64000,Active,0,Standard,7680,"Just Ergonomics, Inc.",BANK OF AMERICA NATL ASSOC
1192835002,PHOENIX,West,86442,Education & Training Institutions,2/10/2015,60000,Active,0,Standard,7200,Chan Yop Cho,WILSHIRE BANK
1196525000,CHICAGO,Midwest,61939,Construction,2/14/2015,58602,Active,0,Standard,7032.24,TR Benefits Insurance Services,BANK OF AMERICA NATL ASSOC
1199354007,SEATTLE,West,98802,Education & Training Institutions,5/13/2007,100000,Active,0,Standard,12000,RED CARPET VIDEO,FIRST BANK
1206515002,SEATTLE,West,99245,Real Estate Development,2/23/2015,19700,Active,0,Standard,2364,Personalized Property Manageme,BANK OF AMERICA NATL ASSOC
1207665003,ATLANTA,South,30988,Hospitality & Tourism,2/23/2015,45018,Default,54,Watchlist,5402.16,"P T J Enterprise, Incorporated",BANK OF AMERICA NATL ASSOC
1207715005,BOSTON,Northeast,1163,Construction,2/23/2015,67597,Active,0,Standard,8111.64,Lee & Jackson Financial Servic,BANK OF AMERICA NATL ASSOC
1207735000,PHOENIX,West,85320,Mining & Quarrying,2/23/2015,13107,Default,71,Watchlist,1572.84,Steven Trombly Excavation Equi,BANK OF AMERICA NATL ASSOC
1210706010,NEW YORK,Northeast,11247,Construction,2/28/2016,568000,Active,0,Standard,68160,CENTURY 21 ALL PRO,CDC SMALL BUS. FINAN CORP
1216465004,SEATTLE,West,99151,Agriculture & Farming,3/2/2015,100000,Default,75,Watchlist,12000,WEST COAST APPRAISAL SERVICE,BANK OF AMERICA NATL ASSOC
1218694000,DENVER,West,80166,Textile & Apparel,5/8/2007,357000,Active,0,Standard,42840,"MSK MANAGEMENT, INC.",CDC SMALL BUS. FINAN CORP
1223795007,DENVER,West,80781,Construction,3/8/2015,14900,Active,0,Standard,1788,THORNTON ENTERPRISES,BANK OF AMERICA NATL ASSOC
1227735008,HOUSTON,South,75659,Construction,3/10/2015,33500,Default,101,Critical,4020,Esprit Funding,BANK OF AMERICA NATL ASSOC
1236295009,NEW YORK,Northeast,14201,Construction,3/17/2015,100000,Default,39,Watchlist,12000,"Majkl, Inc.",CAPITAL ONE NATL ASSOC
1239985010,PHOENIX,West,85336,Education & Training Institutions,3/21/2015,50000,Default,118,Critical,6000,HANMI WORLD CORP.,CAPITAL ONE NATL ASSOC
1241275008,HOUSTON,South,76178,Construction,3/21/2015,10000,Active,0,Standard,1200,"C & D Wellbeloved, Inc. DBA He",BANK OF AMERICA NATL ASSOC
1241335002,CHICAGO,Midwest,62468,Construction,3/21/2015,10000,Active,0,Standard,1200,CENTURY 21 GREENE REALTY,BANK OF AMERICA NATL ASSOC
1241435008,DENVER,West,80680,Construction,3/21/2015,81937,Default,93,Critical,9832.44,"Los Angeles Properties, Inc. D",BANK OF AMERICA NATL ASSOC
1245455000,HOUSTON,South,78120,Construction,3/24/2015,10000,Active,0,Standard,1200,Eastlake Realty and Mortgage C,BANK OF AMERICA NATL ASSOC
1247315008,PHOENIX,West,86087,Hospitality & Tourism,3/27/2015,35000,Active,0,Standard,4200,REYES PROPERTY MANAGEMENT GROU,CAPITAL ONE NATL ASSOC
1252285006,NEW YORK,Northeast,11100,Construction,3/30/2015,139892,Active,0,Standard,16787.04,Investment Property Group,BANK OF AMERICA NATL ASSOC
1256744003,PHOENIX,West,85369,Healthcare Services,5/18/2007,504000,Active,0,Standard,60480,STEVEN OH AJAX RENT A CAR,HANMI BANK
1260605006,MIAMI,South,33717,Real Estate Development,4/6/2015,50000,Default,153,Critical,6000,"Parto Enterprises, Inc.",BANK OF AMERICA NATL ASSOC
1262665006,DALLAS,South,75461,Construction,4/10/2015,50000,Default,35,Watchlist,6000,Mercury Capital Group Inc.,BANK OF AMERICA NATL ASSOC
1264815007,CHICAGO,Midwest,61611,Education & Training Institutions,4/11/2015,82804,Default,71,Watchlist,9936.48,Tammy Cho dba LA Hit Video,CALIFORNIA BANK & TRUST
1266005004,DALLAS,South,76893,Construction,4/11/2015,35000,Default,58,Watchlist,4200,New Integrity Mortgage Corpora,BANK OF AMERICA NATL ASSOC
1267495002,MIAMI,South,34121,Real Estate Development,4/12/2015,111500,Active,0,Standard,13380,Kutzer Management Company Inco,BANK OF AMERICA NATL ASSOC
1269385008,DALLAS,South,79521,Retail & Wholesale Trade,4/17/2015,50000,Active,0,Standard,6000,"EMAX ESCROW, INC.",CAPITAL ONE NATL ASSOC
1275284002,DALLAS,South,79921,Manufacturing,5/22/2007,48449,Active,0,Standard,5813.88,WEB TRADERS,BANK OF AMERICA CALIFORNIA N.A
1282426008,ATLANTA,South,31995,Construction,3/6/2016,557000,Active,0,Standard,66840,"OAKES & ASSOCIATES, INC.",MORTGAGE CAP. DEVEL CORP
1284435008,CHICAGO,Midwest,60321,Retail & Wholesale Trade,4/26/2015,46003,Default,78,Watchlist,5520.36,HERRING GROUP INC.,CAPITAL ONE NATL ASSOC
1292166006,PHOENIX,West,85049,Construction,3/7/2016,394200,Default,92,Critical,47304,CYNTHIA THUY VU,EAST WEST BANK
1298785009,PHOENIX,West,86261,Construction,5/9/2015,93595,Default,67,Watchlist,11231.4,The Churchill Real Estate Grou,BANK OF AMERICA NATL ASSOC
1299775008,MIAMI,South,34905,Hospitality & Tourism,5/10/2015,12970,Active,0,Standard,1556.4,"Envisage Realty, Inc.",BANK OF AMERICA NATL ASSOC
1301435000,SEATTLE,West,99185,Education & Training Institutions,5/11/2015,28500,Active,0,Standard,3420,Hee Dong Bang dba Planet Video,CALIFORNIA BANK & TRUST
1313825007,NEW YORK,Northeast,11639,Construction,5/23/2015,25000,Default,65,Watchlist,3000,GOLYER'S FINANCIAL GROUP,CAPITAL ONE NATL ASSOC
1317475006,PHOENIX,West,85424,Hospitality & Tourism,5/25/2015,79500,Active,0,Standard,9540,Ruberics,BANK OF AMERICA NATL ASSOC
1319365001,DENVER,West,80690,Construction,5/30/2015,25000,Default,161,Critical,3000,CHANG W SON DBA GREENLAND REAL,CAPITAL ONE NATL ASSOC
1321525000,HOUSTON,South,79671,Education & Training Institutions,6/1/2015,75000,Default,31,Watchlist,9000,"Thomas M. Hildebrandt, III dba",CAPITAL ONE NATL ASSOC
1326436003,SEATTLE,West,98242,Retail & Wholesale Trade,3/9/2016,914000,Active,0,Standard,109680,ASSET ESCROW SERVICES INC,SBA - EDF ENFORCEMENT ACTION
1327735005,MIAMI,South,33231,Food & Beverage Production,6/6/2015,30000,Active,0,Standard,3600,Devigne,BANK OF AMERICA NATL ASSOC
1331095006,NEW YORK,Northeast,12950,Oil & Gas,6/8/2015,35000,Default,133,Critical,4200,SIRCLE SOCCER SPORTS L.L.C.,CAPITAL ONE NATL ASSOC
1331255006,HOUSTON,South,77947,Agriculture & Farming,6/8/2015,187000,Default,57,Watchlist,22440,"MWISE, Inc.",BANK OF AMERICA NATL ASSOC
1333125006,HOUSTON,South,76541,Education & Training Institutions,6/9/2015,50000,Default,167,Critical,6000,NINA N SARYAN IHMUD DBA STAR V,CAPITAL ONE NATL ASSOC
1335966000,DALLAS,South,77494,Construction,3/12/2016,51751,Default,45,Watchlist,6210.12,PROPERTY PERCEPTIONS,WELLS FARGO BANK NATL ASSOC
1337275002,BOSTON,Northeast,2319,Construction,6/13/2015,50000,Active,0,Standard,6000,"M&B Realty Investments, LLC",BANK OF AMERICA NATL ASSOC
1338134001,PHOENIX,West,85725,Education & Training Institutions,6/10/2007,302000,Active,0,Standard,36240,RAZ MA TAZ VIDEO,CALIFORNIA BANK & TRUST
1339455001,HOUSTON,South,78983,Hospitality & Tourism,6/14/2015,50000,Active,0,Standard,6000,"WESTERN AMERICA PROPERTIES, IN",CAPITAL ONE NATL ASSOC
1340535009,NEW YORK,Northeast,10341,Construction,6/15/2015,109000,Default,93,Critical,13080,"Mathis & Associates, Inc.",BANK OF AMERICA NATL ASSOC
1345845007,ATLANTA,South,31143,Construction,6/19/2015,92446,Active,0,Standard,11093.52,"Whizdom Group, Inc.",BANK OF AMERICA NATL ASSOC
1346505001,SEATTLE,West,98242,Construction,6/20/2015,55000,Active,0,Standard,6600,"Turnbloom & Associates, Incorp",BANK OF AMERICA NATL ASSOC
1350935004,DENVER,West,80712,Media & Entertainment,6/22/2015,81475,Default,126,Critical,9777,Star Wheels,BANK OF AMERICA NATL ASSOC
1364005008,CHICAGO,Midwest,61338,Construction,7/5/2015,93000,Active,0,Standard,11160,"Hans Strom, Inc. dba Strom Com",CALIFORNIA BANK & TRUST
1366035010,NEW YORK,Northeast,11151,Construction,7/6/2015,20000,Active,0,Standard,2400,VMD ROYAL REAL ESTATE CO.,BANK OF AMERICA NATL ASSOC
1368895003,NEW YORK,Northeast,10827,Advertising & Marketing Agencies,7/10/2015,69500,Active,0,Standard,8340,Long Tzong Syiau dba Champion,BANK OF AMERICA NATL ASSOC
1388235001,SEATTLE,West,98776,Construction,7/25/2015,44750,Default,66,Watchlist,5370,Woodward Childs,BANK OF AMERICA NATL ASSOC
1390235000,SEATTLE,West,99017,Real Estate Development,7/26/2015,21500,Active,0,Standard,2580,Pine Idyllwild LLC,BANK OF AMERICA NATL ASSOC
1390566001,CHICAGO,Midwest,62102,Construction,3/16/2016,150000,Active,0,Standard,18000,Auchante Inc,BANCO POPULAR NORTH AMERICA
1391595005,HOUSTON,South,78896,Education & Training Institutions,7/27/2015,20505,Default,116,Critical,2460.6,Mega Video,BANK OF AMERICA NATL ASSOC
1392415010,NEW YORK,Northeast,11015,Construction,7/27/2015,1240000,Active,0,Standard,148800,"Three Amigos Realty, Inc., dba",PACIFIC CITY BANK
1394315008,PHOENIX,West,85950,Information Technology Services,7/28/2015,140000,Active,0,Standard,16800,ACME SAFETY & SUPPLY CORPORATI,CALIFORNIA BANK & TRUST
1394325000,BOSTON,Northeast,1776,Information Technology Services,7/28/2015,22964,Active,0,Standard,2755.68,ACME SAFETY & SUPPLY CORPORATI,CALIFORNIA BANK & TRUST
1406965002,ATLANTA,South,37757,Education & Training Institutions,8/8/2015,100000,Default,92,Critical,12000,A&M Video,TELESIS COMMUNITY CU
1408404006,DENVER,West,80620,Textile & Apparel,7/9/2007,257000,Active,0,Standard,30840,WARFIELD ENTERPRISES INC.,U.S. BANK NATIONAL ASSOCIATION
1409105008,PHOENIX,West,85533,Construction,8/9/2015,65000,Active,0,Standard,7800,"Pro Listing Realty Group, Inc.",BANK OF AMERICA NATL ASSOC
1416315010,DENVER,West,80589,Hospitality & Tourism,8/15/2015,24046,Default,58,Watchlist,2885.52,"AME Property Management, Inc.",BANK OF AMERICA NATL ASSOC
1419365009,MIAMI,South,32218,Hospitality & Tourism,8/17/2015,5000,Default,138,Critical,600,The Korby Marks Intellectual P,BANK OF AMERICA NATL ASSOC
1424025006,MIAMI,South,33091,Construction,8/22/2015,50000,Default,74,Watchlist,6000,DAVID R. CLARK DBA WESTWOOD IN,CAPITAL ONE NATL ASSOC
1426646004,SEATTLE,West,98942,Construction,3/20/2016,43509,Default,114,Critical,5221.08,MUNOZ DEVELOPMENT LLC,JPMORGAN CHASE BANK NATL ASSOC
1426866000,PHOENIX,West,85072,Information Technology Services,3/20/2016,105000,Active,0,Standard,12600,CHEM MARK OF LONG BEACH INC,CDC SMALL BUS. FINAN CORP
1430295002,CHICAGO,Midwest,62662,Retail & Wholesale Trade,8/24/2015,45000,Default,105,Critical,5400,Universal Properties & Financi,BANK OF AMERICA NATL ASSOC
1441105008,HOUSTON,South,75797,Energy & Utilities,9/1/2015,61483,Active,0,Standard,7377.96,Kirschners Box Supply,BANK OF AMERICA NATL ASSOC
1454584004,DENVER,West,80745,Education & Training Institutions,7/31/2007,140000,Active,0,Standard,16800,VIDEO EXPRESS/BLUEPRINT EXPRES,MUFG UNION BANK NATL ASSOC
1454865001,NEW YORK,Northeast,10154,Hospitality & Tourism,9/13/2015,70112,Active,0,Standard,8413.44,"Johal & Mohiuddin Investments,",U.S. BANK NATIONAL ASSOCIATION
1460875000,HOUSTON,South,77636,Hospitality & Tourism,9/18/2015,53450,Default,151,Critical,6414,"Atlas Marketing Group, Inc.",U.S. BANK NATIONAL ASSOCIATION
1465705005,ATLANTA,South,36058,Retail & Wholesale Trade,9/20/2015,74432,Default,57,Watchlist,8931.84,"Genshare Acquisition, Inc.","PNC BANK, NATIONAL ASSOCIATION"
1469696008,DENVER,West,81518,Information Technology Services,3/23/2016,825000,Active,0,Standard,99000,HANSON & FITCH INC,WELLS FARGO BANK NATL ASSOC
1472284001,HOUSTON,South,79553,Healthcare Services,8/10/2007,720000,Active,0,Standard,86400,AJAX RENT A CAR,WILSHIRE BANK
1476505010,DALLAS,South,79702,Agriculture & Farming,9/27/2015,50000,Default,33,Watchlist,6000,SHAUN D. IRONS DBA IRONS' APPR,CAPITAL ONE NATL ASSOC
1477895002,PHOENIX,West,86165,Education & Training Institutions,9/27/2015,10800,Active,0,Standard,1296,Monica & Jim DePriest dba: Vid,BANK OF THE SIERRA
1483255005,DALLAS,South,78928,Advertising & Marketing Agencies,10/2/2015,45000,Default,167,Critical,5400,Sepan Hall,BANK OF AMERICA NATL ASSOC
1488884009,MIAMI,South,34200,Textile & Apparel,8/17/2007,369000,Active,0,Standard,44280,ADVANCED MANAGEMENT COMPANY,MERRILL LYNCH BANK USA
1496985000,CHICAGO,Midwest,60604,Retail & Wholesale Trade,10/12/2015,62267,Default,81,Watchlist,7472.04,Deborah Monteleone,U.S. BANK NATIONAL ASSOCIATION
1499135009,MIAMI,South,33432,Retail & Wholesale Trade,10/13/2015,50000,Active,0,Standard,6000,"MARIA FISCHER, INC.",U.S. BANK NATIONAL ASSOCIATION
1499685010,NEW YORK,Northeast,11849,Construction,10/13/2015,329825,Active,0,Standard,39579,"John Altamura and Associates,",BANK OF AMERICA NATL ASSOC
1499785005,ATLANTA,South,36011,Construction,10/16/2015,50000,Active,0,Standard,6000,SHELLEY H. RABY DBA SHELLEY RA,CAPITAL ONE NATL ASSOC
1504496003,CHICAGO,Midwest,61089,Construction,3/26/2016,98863,Active,0,Standard,11863.56,REGAL REAL ESTATE INVESTMENT C,JPMORGAN CHASE BANK NATL ASSOC
1512516007,MIAMI,South,32392,Renewable Energy,3/27/2016,83768,Active,0,Standard,10052.16,HELPING HANDS MEDICAL SUPPLIES,JPMORGAN CHASE BANK NATL ASSOC
1512635001,NEW YORK,Northeast,13104,Hospitality & Tourism,10/24/2015,100000,Default,82,Watchlist,12000,WAYNE R. GOLDMAN DBA US HOMES,CAPITAL ONE NATL ASSOC
1515624008,MIAMI,South,33273,Healthcare Services,8/27/2007,100000,Active,0,Standard,12000,AJAX RENT A CAR,WILSHIRE BANK
1516595010,NEW YORK,Northeast,13936,Construction,10/25/2015,74300,Default,69,Watchlist,8916,"Trinity Financial Group, Inc.",BANK OF AMERICA NATL ASSOC
1517425007,DALLAS,South,79654,"Professional Services (Legal, Accounting)",10/26/2015,60399,Active,0,Standard,7247.88,"Calfiornia Airways, Inc",CALIFORNIA BANK & TRUST
1517494010,NEW YORK,Northeast,12342,Healthcare Services,8/28/2007,50000,Active,0,Standard,6000,RENT-A-WRECK,WILSHIRE BANK
1519505000,PHOENIX,West,86190,Construction,10/27/2015,35000,Default,143,Critical,4200,Coldwell Banker The Oakdale Re,BANK OF AMERICA NATL ASSOC
1523425003,BOSTON,Northeast,2333,Retail & Wholesale Trade,10/31/2015,12973,Active,0,Standard,1556.76,"LNTC PROPERTIES, LLC.",U.S. BANK NATIONAL ASSOCIATION
1528046002,NEW YORK,Northeast,12463,Education & Training Institutions,3/28/2016,49959,Default,143,Critical,5995.08,PLANET VIDEO,WELLS FARGO BANK NATL ASSOC
1532105003,DENVER,West,81239,Retail & Wholesale Trade,11/7/2015,37695,Default,111,Critical,4523.4,"C'MAJ & ASSOCIATES, INC.",CAPITAL ONE NATL ASSOC
1535505000,ATLANTA,South,33841,Construction,11/8/2015,100000,Default,143,Critical,12000,SEAN E. VIRTUE DBA SEAN VIRTUE,CAPITAL ONE NATL ASSOC
1536045006,BOSTON,Northeast,1802,Textile & Apparel,11/8/2015,209210,Default,32,Watchlist,25105.2,GPIMD Inc,U.S. BANK NATIONAL ASSOCIATION
1544125006,ATLANTA,South,35687,Retail & Wholesale Trade,11/16/2015,40000,Active,0,Standard,4800,"JCC Investments, LLC",BANK OF AMERICA NATL ASSOC
1549165006,MIAMI,South,32612,Retail & Wholesale Trade,11/20/2015,58292,Default,84,Watchlist,6995.04,Gino Green,U.S. BANK NATIONAL ASSOCIATION
1551555004,MIAMI,South,33556,Construction,11/21/2015,74500,Default,117,Critical,8940,"Highlander Real Estate Group,",BANK OF AMERICA NATL ASSOC
1553755009,ATLANTA,South,33320,Media & Entertainment,11/24/2015,45736,Active,0,Standard,5488.32,kamco properties,U.S. BANK NATIONAL ASSOCIATION
